iter	Passed	Remaining
407	5645	2656
408	5659	2642
409	5672	2628
410	5686	2614
411	5699	2600
412	5713	2587
413	5728	2573
414	5743	2560
415	5757	2546
416	5772	2533
417	5786	2519
418	5800	2505
419	5815	2492
420	5830	2478
421	5844	2465
422	5858	2451
423	5872	2437
424	5885	2423
425	5898	2409
426	5912	2395
427	5926	2381
428	5939	2367
429	5952	2353
430	5966	2339
431	5979	2325
432	5993	2311
433	6007	2297
434	6022	2284
435	6036	2270
436	6050	2256
437	6063	2242
438	6076	2228
439	6090	2214
440	6103	2200
441	6116	2186
442	6129	2172
443	6144	2158
444	6159	2145
445	6173	2131
446	6187	2117
447	6201	2103
448	6216	2090
449	6230	2076
450	6243	2062
451	6257	2048
452	6271	2035
453	6284	2021
454	6297	2006
455	6310	1992
456	6324	1978
457	6337	1964
458	6351	1951
459	6364	1937
460	6377	1923
461	6391	1909
462	6403	1894
463	6417	1881
464	6430	1866
465	6444	1853
466	6458	1839
467	6472	1825
468	6486	1811
469	6500	1798
470	6514	1784
471	6527	1770
472	6541	1756
473	6554	1742
474	6567	1728
475	6581	1714
476	6595	1700
477	6609	1686
478	6622	1672
479	6636	1659
480	6650	1645
481	6664	1631
482	6678	1617
483	6692	1603
484	6705	1589
485	6718	1575
486	6731	1561
487	6744	1547
488	6757	1533
489	6770	1519
490	6784	1506
491	6796	1491
492	6809	1477
493	6823	1464
494	6836	1450
495	6849	1436
496	6862	1422
497	6875	1408
498	6889	1394
499	6902	1380
500	6915	1366
501	6928	1352
502	6941	1338
503	6955	1324
504	6968	1310
505	6981	1296
506	6994	1282
507	7007	1269
508	7020	1255
509	7034	1241
510	7046	1227
511	7060	1213
512	7073	1199
513	7086	1185
514	7099	1171
515	7113	1157
516	7125	1144
517	7139	1130
518	7152	1116
519	7165	1102
520	7178	1088
521	7192	1074
522	7206	1061
523	7219	1047
524	7232	1033
525	7247	1019
526	7260	1005
527	7275	992
528	7289	978
529	7301	964
530	7315	950
531	7329	936
532	7343	923
533	7358	909
534	7373	895
535	7387	882
536	7401	868
537	7415	854
538	7428	840
539	7443	827
540	7456	813
541	7471	799
542	7485	785
543	7499	772
544	7512	758
545	7527	744
546	7541	730
547	7554	716
548	7567	703
549	7581	689
550	7594	675
551	7608	661
552	7622	647
553	7635	634
554	7649	620
555	7662	606
556	7675	592
557	7689	578
558	7702	564
559	7715	551
560	7728	537
561	7742	523
562	7755	509
563	7768	495
564	7782	482
565	7795	468
566	7808	454
567	7822	440
568	7835	426
569	7849	413
570	7863	399
571	7877	385
572	7890	371
573	7904	358
574	7918	344
575	7933	330
576	7947	316
577	7960	303
578	7974	289
579	7988	275
580	8002	261
581	8014	247
582	8028	234
583	8041	220
584	8054	206
585	8067	192
586	8080	178
587	8093	165
588	8107	151
589	8120	137
590	8134	123
591	8147	110
592	8161	96
593	8174	82
594	8187	68
595	8201	55
596	8214	41
597	8228	27
598	8242	13
599	8255	0
