iter	Logloss
269	0.5387024481
270	0.5384923315
271	0.5381972988
272	0.5379956298
273	0.5376755378
274	0.5374984643
275	0.537277749
276	0.5370912632
277	0.5368793534
278	0.5366601979
279	0.5363267849
280	0.5360268143
281	0.535735226
282	0.5354848325
283	0.5352585538
284	0.5349043798
285	0.5347314055
286	0.5343975686
287	0.534212463
288	0.5339423088
289	0.5336085495
290	0.5334980429
291	0.5332335776
292	0.5330009928
293	0.532654591
294	0.5323424057
295	0.5321528585
296	0.5319738982
297	0.5317687479
298	0.5315517634
299	0.531309557
300	0.5311416858
301	0.5309789657
302	0.5307147124
303	0.5305037986
304	0.5301712311
305	0.5299137659
306	0.5295850021
307	0.5293684931
308	0.5291217829
309	0.5288608884
310	0.5285952988
311	0.5283430117
312	0.528225731
313	0.5280412133
314	0.5279070776
315	0.5277615904
316	0.527509112
317	0.5272299887
318	0.5269226265
319	0.5267698251
320	0.526436182
321	0.5262343796
322	0.5260508361
323	0.5258232663
324	0.5255249164
325	0.5253557749
326	0.5251142032
327	0.5248265927
328	0.5246115272
329	0.5243443747
330	0.5240172344
331	0.523777096
332	0.5236315429
333	0.5233868653
334	0.5232164977
335	0.5229878478
336	0.5227421342
337	0.5225361361
338	0.5223846404
339	0.5222382354
340	0.5220655773
341	0.5218895957
342	0.5216362209
343	0.5214001351
344	0.5212744987
345	0.5210623071
346	0.5209031198
347	0.5206607285
348	0.5204810359
349	0.520239755
350	0.5200912591
351	0.5198192023
352	0.5195357644
353	0.5192898592
354	0.5189224374
355	0.5187416555
356	0.5185001546
357	0.5182964848
358	0.5180489383
359	0.5178062412
360	0.5175838876
361	0.5172356877
362	0.5170735997
363	0.5168887209
364	0.5166785122
365	0.5164589257
366	0.5162187438
367	0.5160881411
368	0.5159022157
369	0.5156332932
370	0.5154521225
371	0.515255315
372	0.5150207377
373	0.5147209778
374	0.5145131918
375	0.5143534025
376	0.5140834734
377	0.5139781418
378	0.5137066847
379	0.5135100289
380	0.5132791542
381	0.5131408504
382	0.5128444948
383	0.512656986
384	0.5123741414
385	0.5122247796
386	0.5120910213
387	0.5119463699
388	0.5117848187
389	0.5115871064
390	0.5114191279
391	0.5112592936
392	0.5110218747
393	0.5107401069
394	0.5106106558
395	0.5103860027
396	0.5100956558
397	0.5098887383
398	0.5097321607
399	0.5095320172
400	0.5092737231
401	0.5090789539
402	0.5088690604
403	0.5086153437
404	0.5083953911
405	0.5082183712
406	0.5080703903
407	0.5079160871
408	0.5077589737
409	0.5075573893
410	0.5073752818
411	0.5072424121
412	0.5069911685
413	0.506710116
414	0.5065251957
415	0.506289383
416	0.5061271024
417	0.5059821062
418	0.5057182895
419	0.5055034209
420	0.505241594
421	0.5050064528
422	0.504839296
423	0.504592333
424	0.50439492
425	0.5042210504
426	0.5039326279
427	0.5037389473
428	0.5035611656
429	0.5034411492
430	0.5032386799
431	0.5030823476
432	0.5027767986
433	0.5025907011
434	0.5024755922
435	0.5022809316
436	0.5019512219
437	0.501693005
438	0.5015313372
439	0.5013907742
440	0.501234856
441	0.5011150072
442	0.5009820946
443	0.5007731868
444	0.5006045576
445	0.5004744954
446	0.5003441353
447	0.5001277262
448	0.4999466341
449	0.4998163552
450	0.4995848903
451	0.499393783
452	0.4992591222
453	0.4990602226
454	0.4989150166
455	0.4986958814
456	0.4984530727
457	0.4982606338
458	0.4980076175
459	0.4977716523
460	0.4976023098
461	0.4974417773
462	0.4973538171
463	0.4971820991
464	0.4969538155
465	0.496790589
466	0.496566607
467	0.4963585063
468	0.4962015577
469	0.4959207941
470	0.4957728857
471	0.4956404313
472	0.4955373665
473	0.49540411
474	0.4951759911
475	0.4949581724
476	0.4947864752
477	0.4945723447
478	0.4943433544
479	0.4941448121
480	0.4940317222
481	0.493828066
482	0.4936139837
483	0.4933804329
484	0.4931888017
485	0.4929924701
486	0.4928933049
487	0.4928276234
488	0.4926386015
489	0.4925028566
490	0.4922635476
491	0.4921480854
492	0.4919688587
493	0.4917088785
494	0.491453526
495	0.4913242249
496	0.4911061283
497	0.4909020211
498	0.4906367775
499	0.4904370459
500	0.4902792544
501	0.490156328
502	0.4899446718
503	0.4898052936
504	0.4896290621
505	0.4894144719
506	0.4892463679
507	0.489052445
508	0.488887938
509	0.4887674239
510	0.488597133
511	0.48842274
512	0.4883101143
513	0.488136968
514	0.4878330329
515	0.4876853831
516	0.4875188496
517	0.4872882618
518	0.4870838376
519	0.4869748065
520	0.4868031302
521	0.4866419102
522	0.4864524711
523	0.4863353277
524	0.4861479041
525	0.4859370625
526	0.4857757975
527	0.4855180244
528	0.4852822855
529	0.4851333458
530	0.48494532
531	0.4847091857
532	0.4844865935
533	0.4842747435
534	0.4841330117
535	0.4838937417
536	0.4837721342
537	0.4835688829
538	0.4834628446
539	0.4832239876
540	0.483126701
541	0.4828900421
542	0.4826816318
543	0.4824907823
544	0.4823491941
545	0.4822176612
546	0.4820578687
547	0.4818287304
548	0.4816985608
549	0.4815841492
550	0.4814205114
551	0.4812297007
552	0.4810405891
553	0.4808391334
554	0.4806840374
555	0.4805269518
556	0.4803572515
557	0.4802502168
558	0.4800834995
559	0.4799064577
560	0.4797812256
561	0.4796001473
562	0.4794435233
563	0.479275499
564	0.4790542729
565	0.4789276177
566	0.4787696188
567	0.4785982882
568	0.478478834
569	0.4782822997
570	0.4781130214
571	0.4778813356
572	0.4776802788
573	0.4775845761
574	0.4773871366
575	0.4772609726
576	0.4771006288
577	0.4769247746
578	0.4766739871
579	0.4764966761
580	0.4763487454
581	0.4762428173
582	0.4761376017
583	0.4759663111
584	0.4758536371
585	0.4756763417
586	0.4755803719
587	0.4754384915
588	0.4752165098
589	0.475087727
590	0.4748680185
591	0.4747636127
592	0.4745823092
593	0.4744692264
594	0.4742900896
595	0.4740517629
596	0.473858644
597	0.4737064159
598	0.4735760622
599	0.473355815
